date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:07:49	1159/1159	---M-Z	404	error ('Not%20Found')	text/html	etag:%22999-650cb906-d8e718ed5d0574ad;gz%22	https://html.themewant.com/robots.txt		(from )
22:07:49	152604/152604	---M-Z	200	added ('OK')	text/html	etag:%222541c-663c8b46-80b4454a2bb25eaa;gz%22	https://html.themewant.com/studyhub/	C:/Users/ZED/Desktop/clone%20war/studyhub/study%20hub/html.themewant.com/studyhub/index.html	(from )
22:07:50	683/683	---M--	200	added ('OK')	image/png	date:Thu,%2008%20Aug%202024%2002:07:50%20GMT	https://html.themewant.com/studyhub/assets/images/fav.png	C:/Users/ZED/Desktop/clone%20war/studyhub/study%20hub/html.themewant.com/studyhub/assets/images/fav.png	(from https://html.themewant.com/studyhub/)
22:07:52	498515/498515	---M-Z	200	added ('OK')	text/css	etag:%2279b53-663c8b46-fb9e26ef1167b363;gz%22	https://html.themewant.com/studyhub/assets/css/plugins/fontawesome-6.css	C:/Users/ZED/Desktop/clone%20war/studyhub/study%20hub/html.themewant.com/studyhub/assets/css/plugins/fontawesome-6.css	(from https://html.themewant.com/studyhub/)
22:07:52	26126/26126	---M-Z	200	added ('OK')	text/css	etag:%22660e-663c8b46-dfa4fe9784e3dc7e;gz%22	https://html.themewant.com/studyhub/assets/css/plugins/swiper.min.css	C:/Users/ZED/Desktop/clone%20war/studyhub/study%20hub/html.themewant.com/studyhub/assets/css/plugins/swiper.min.css	(from https://html.themewant.com/studyhub/)
22:07:53	8469/8469	---M-Z	200	added ('OK')	text/css	etag:%222115-663c8b46-b593cdf4a0c8a169;gz%22	https://html.themewant.com/studyhub/assets/css/vendor/magnific-popup.css	C:/Users/ZED/Desktop/clone%20war/studyhub/study%20hub/html.themewant.com/studyhub/assets/css/vendor/magnific-popup.css	(from https://html.themewant.com/studyhub/)
22:07:54	213827/213827	---M-Z	200	added ('OK')	text/css	etag:%2234343-663c8b46-90e0f45496658f0f;gz%22	https://html.themewant.com/studyhub/assets/css/vendor/bootstrap.min.css	C:/Users/ZED/Desktop/clone%20war/studyhub/study%20hub/html.themewant.com/studyhub/assets/css/vendor/bootstrap.min.css	(from https://html.themewant.com/studyhub/)
22:07:55	37582/37582	---M-Z	200	added ('OK')	text/css	etag:%2292ce-663c8b46-d44dd1763d9f1903;gz%22	https://html.themewant.com/studyhub/assets/css/vendor/jquery-ui.css	C:/Users/ZED/Desktop/clone%20war/studyhub/study%20hub/html.themewant.com/studyhub/assets/css/vendor/jquery-ui.css	(from https://html.themewant.com/studyhub/)
22:07:55	3589/3589	---M-Z	200	added ('OK')	text/css	etag:%22e05-663c8b46-8253f83fd052c1dd;gz%22	https://html.themewant.com/studyhub/assets/css/vendor/metismenu.css	C:/Users/ZED/Desktop/clone%20war/studyhub/study%20hub/html.themewant.com/studyhub/assets/css/vendor/metismenu.css	(from https://html.themewant.com/studyhub/)
22:07:56	654387/654387	---M-Z	200	added ('OK')	text/css	etag:%229fc33-663c8b46-c90941f51b74adb0;gz%22	https://html.themewant.com/studyhub/assets/css/style.css	C:/Users/ZED/Desktop/clone%20war/studyhub/study%20hub/html.themewant.com/studyhub/assets/css/style.css	(from https://html.themewant.com/studyhub/)
22:07:57	10277/10277	---M-Z	200	added ('OK')	image/svg+xml	etag:%222825-663c8b46-1da8cac99e8e5088;gz%22	https://html.themewant.com/studyhub/assets/images/flag-01.svg	C:/Users/ZED/Desktop/clone%20war/studyhub/study%20hub/html.themewant.com/studyhub/assets/images/flag-01.svg	(from https://html.themewant.com/studyhub/)
22:07:57	283/283	---M--	200	added ('OK')	image/svg+xml	etag:%2211b-663c8b46-78272e1763a8ff09;;;%22	https://html.themewant.com/studyhub/assets/images/flag-03.svg	C:/Users/ZED/Desktop/clone%20war/studyhub/study%20hub/html.themewant.com/studyhub/assets/images/flag-03.svg	(from https://html.themewant.com/studyhub/)
22:07:58	36518/36518	---M-Z	200	added ('OK')	image/svg+xml	etag:%228ea6-663c8b46-348015925094c07e;gz%22	https://html.themewant.com/studyhub/assets/images/flag-02.svg	C:/Users/ZED/Desktop/clone%20war/studyhub/study%20hub/html.themewant.com/studyhub/assets/images/flag-02.svg	(from https://html.themewant.com/studyhub/)
22:07:59	410/410	---M-Z	200	added ('OK')	image/svg+xml	etag:%2219a-663c8b46-89c97ed5771225a1;gz%22	https://html.themewant.com/studyhub/assets/images/flag-04.svg	C:/Users/ZED/Desktop/clone%20war/studyhub/study%20hub/html.themewant.com/studyhub/assets/images/flag-04.svg	(from https://html.themewant.com/studyhub/)
22:07:59	152604/152604	---M-Z	200	added ('OK')	text/html	etag:%222541c-663c8b46-80b4454a2bb25eaa;gz%22	https://html.themewant.com/studyhub/index.html	C:/Users/ZED/Desktop/clone%20war/studyhub/study%20hub/html.themewant.com/studyhub/index-2.html	(from https://html.themewant.com/studyhub/)
22:08:00	6700/6700	---M-Z	200	added ('OK')	image/svg+xml	etag:%221a2c-663c8b46-8b0182efe843d2c8;gz%22	https://html.themewant.com/studyhub/assets/images/logo/logo-1.svg	C:/Users/ZED/Desktop/clone%20war/studyhub/study%20hub/html.themewant.com/studyhub/assets/images/logo/logo-1.svg	(from https://html.themewant.com/studyhub/)
22:08:01	119/119	---M--	200	added ('OK')	image/png	date:Thu,%2008%20Aug%202024%2002:08:00%20GMT	https://html.themewant.com/studyhub/assets/images/header/grid.png	C:/Users/ZED/Desktop/clone%20war/studyhub/study%20hub/html.themewant.com/studyhub/assets/images/header/grid.png	(from https://html.themewant.com/studyhub/)
22:08:01	3777/3777	---M-Z	200	added ('OK')	image/svg+xml	etag:%22ec1-663c8b46-1b9bcea296a5d0bc;gz%22	https://html.themewant.com/studyhub/assets/images/category/01.svg	C:/Users/ZED/Desktop/clone%20war/studyhub/study%20hub/html.themewant.com/studyhub/assets/images/category/01.svg	(from https://html.themewant.com/studyhub/)
22:08:02	6232/6232	---M-Z	200	added ('OK')	image/svg+xml	etag:%221858-663c8b46-5b8e2996fc6b5671;gz%22	https://html.themewant.com/studyhub/assets/images/category/07.svg	C:/Users/ZED/Desktop/clone%20war/studyhub/study%20hub/html.themewant.com/studyhub/assets/images/category/07.svg	(from https://html.themewant.com/studyhub/)
22:08:03	7551/7551	---M-Z	200	added ('OK')	image/svg+xml	etag:%221d7f-663c8b46-2fd09f065633c8c;gz%22	https://html.themewant.com/studyhub/assets/images/category/02.svg	C:/Users/ZED/Desktop/clone%20war/studyhub/study%20hub/html.themewant.com/studyhub/assets/images/category/02.svg	(from https://html.themewant.com/studyhub/)
22:08:03	9051/9051	---M-Z	200	added ('OK')	image/svg+xml	etag:%22235b-663c8b46-380c2768d821305f;gz%22	https://html.themewant.com/studyhub/assets/images/category/03.svg	C:/Users/ZED/Desktop/clone%20war/studyhub/study%20hub/html.themewant.com/studyhub/assets/images/category/03.svg	(from https://html.themewant.com/studyhub/)
22:08:04	5398/5398	---M-Z	200	added ('OK')	image/svg+xml	etag:%221516-663c8b46-ecd277468234cb70;gz%22	https://html.themewant.com/studyhub/assets/images/category/04.svg	C:/Users/ZED/Desktop/clone%20war/studyhub/study%20hub/html.themewant.com/studyhub/assets/images/category/04.svg	(from https://html.themewant.com/studyhub/)
22:08:05	7246/7246	---M-Z	200	added ('OK')	image/svg+xml	etag:%221c4e-663c8b46-7381e0b13fd685f3;gz%22	https://html.themewant.com/studyhub/assets/images/category/05.svg	C:/Users/ZED/Desktop/clone%20war/studyhub/study%20hub/html.themewant.com/studyhub/assets/images/category/05.svg	(from https://html.themewant.com/studyhub/)
22:08:05	5369/5369	---M-Z	200	added ('OK')	image/svg+xml	etag:%2214f9-663c8b46-e3813f39ec144ce4;gz%22	https://html.themewant.com/studyhub/assets/images/category/08.svg	C:/Users/ZED/Desktop/clone%20war/studyhub/study%20hub/html.themewant.com/studyhub/assets/images/category/08.svg	(from https://html.themewant.com/studyhub/)
